Price,Dien Tich,Do Rong Mat Duong,So Tang,Khoang Cach
4 tỷ,32 m2,3m,3,"Phố Kim Mã Thượng, Phường Kim Mã, Quận Ba Đình, Hà Nội"
3.8 tỷ,31 m2,3m,5,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.55 tỷ,32 m2,3m,4,"Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
7.8 tỷ,49 m2,6m,5,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.2 tỷ,35 m2,5m,3,"Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
11.6 tỷ,63 m2,"4,5m",6,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
9.5 tỷ,69 m2,6m,4,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
7.5 tỷ,45 m2,"5,5m",5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
9.1 tỷ,73 m2,5m,4,"Phố Vạn Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
4.45 tỷ,43 m2,"3,5m",5,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
8.8 tỷ,55 m2,5m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
5.8 tỷ,36 m2,5m,4,"Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
4.6 tỷ,41 m2,"3,5m",4,"Đường Đào Tấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
4.5 tỷ,43 m2,3m,5,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.8 tỷ,33 m2,3m,5,"Đường Đào Tấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
3.95 tỷ,45 m2,4m,4,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
